  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 452    6    0   50.00  50.00     4      8    8      0      6     6   100.00
 453    6    0   66.67  80.00     4      6    5      0      6     6   100.00
 454    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 455    6    0   66.67  66.67     4      6    6      1      6     6   100.00
 456    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 457    2    0   50.00  20.00     1      2    5      0      2     1    50.00
 458    3    0   80.00 100.00     4      5    4      0      3     3   100.00
 459    4    0   60.00  60.00     3      5    5      0      4     3    75.00
 460    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 461    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 462    2    0   50.00  33.33     1      2    3      0      2     1    50.00
 463    6    0   28.57  33.33     2      7    6      3      6     5    83.33
 464    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 465    2    0   33.33  50.00     1      3    2      0      2     1    50.00
 466    2    0   50.00  25.00     1      2    4      0      2     1    50.00
 467    2    0   33.33  50.00     1      3    2      0      2     1    50.00
 468    7    0   27.27  60.00     3     11    5      1      7     6    85.71
 469    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 470    9    0   36.36  33.33     4     11   12      2      9     8    88.89
 471    7    0   33.33  42.86     3      9    7      1      7     6    85.71
 472    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 473    8    0   50.00  66.67     4      8    6      1      8     8   100.00
 474    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 475    6    0   60.00  37.50     3      5    8      3      6     5    83.33
 476    5    0   25.00  16.67     1      4    6      2      5     5   100.00
 477    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 478    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 479    2    0  100.00 100.00     2      2    2      0      2     1    50.00
 480    1    0   50.00  50.00     1      2    2      0      1     1   100.00
 481    3    0   28.57  40.00     2      7    5      0      3     3   100.00
 482    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 483    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 484    3    0   75.00  60.00     3      4    5      0      3     2    66.67
 485    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 486    1    0   66.67 100.00     2      3    2      0      1     1   100.00
 487    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 488    6    0   33.33  22.22     2      6    9      3      6     5    83.33
 489    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 490    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 491    2    0   50.00  50.00     1      2    2      0      2     2   100.00
 492    4    0   57.14  80.00     4      7    5      0      4     4   100.00
 493    5    0   11.11  14.29     1      9    7      3      5     4    80.00
 494    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 495    8    0   37.50  37.50     3      8    8      0      8     8   100.00
 496    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 497    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 498    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 499    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 500    6    0   33.33  33.33     2      6    6      0      6     6   100.00
 501    2    0   25.00  50.00     1      4    2      0      2     1    50.00
 502    7    0   18.18  22.22     2     11    9      2      7     6    85.71
 503    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 504    5    0   50.00  42.86     3      6    7      3      5     4    80.00
 505    5    0   25.00  33.33     2      8    6      1      5     5   100.00
 506    7    0   83.33  71.43     5      6    7      0      7     7   100.00
 507    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 508    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 509    1    0   33.33  50.00     1      3    2      0      1     1   100.00
 510    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 511    6    0   20.00  40.00     2     10    5      1      6     5    83.33
 512    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 513    4    0   20.00  25.00     1      5    4      0      4     3    75.00
 514    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 515    7    0   71.43  83.33     5      7    6      0      7     7   100.00
 516    4    0   33.33  22.22     2      6    9      3      4     4   100.00
 517    6    0   14.29  20.00     1      7    5      0      6     5    83.33
 518    5    0   33.33  33.33     2      6    6      0      5     5   100.00
 519    9    0   45.45  45.45     5     11   11      1      9     9   100.00
 520    8    0   37.50  30.00     3      8   10      1      8     8   100.00
